Identifier,SMILES
NPBS000168,O=C(OC)C1=CC(=O)C=C(OC)C21OC3=C(Cl)C(=C(Cl)C(O)=C3C2=O)C
NPBS000169,O=C1OC2CCN3CC=C(COC(=O)C(O)(C(=C)CC1=CC)C)C32
NPBS000170,OC1C(=C)C2CC13C4CC5C6(C)CN(CC)C4C5(C(O)CC6)C3CC2O
NPBS000171,O=C1OC2CC[N+]3([O-])CC=C(COC(=O)C(O)(C(=C)CC1=CC)C)C23
NPBS000172,O=C1C(=COC2=CC(O)=CC=C12)C=3C=C4OCOC4=CC3O
NPBS000173,O=C1C(=COC=2C=C(OC3OC(CO)C(O)C(O)C3O)C(OC)=C(O)C12)C=4C=CC(O)=CC4
NPBS000174,OC12C3=CC=4OCOC4C=C3OC2C5=CC=C(OC)C=C5OC1
NPBS000175,O=C1OCC2=CCN3CCC(OC(=O)C4(OC4C)CC(C)C1(O)C)C23
NPBS000176,O=C1OC2CCN3(=O)CCC(COC(=O)C(O)(C)C(C)CC1=CC)C23
NPBS000177,O=C1OC=2C=C(OC3OC(CO)C(O)C(O)C3O)C(OC)=C(O)C2C=C1
NPBS000178,O=C1OC2CCN3CCC(COC(=O)C(O)(C)C(C)CC1=CC)C32
NPBS000179,N12CCCCC1C3CN4CCCCC4C(C2)C3
NPBS000180,O=C(OC1CCN2CCC(COC(=O)C(=CC)CO)C21)C(=CC)C
NPBS000181,O=C1OCC2=CCN3CCC(OC(=O)C(O)(CC(C)C1(O)C)C(O)C)C23
NPBS000182,OC1CCC2(C)C(CCC3C4CCC(C(C)CCC(CC)C(C)C)C4(C)CCC32)C1
NPBS000183,O=C1OC(C2=CC=C3OCOC3=C12)C4C5=CC=6OCOC6C=C5CCN4C
NPBS000184,OC1CC2(C)C(O)C3C1C2(C)CCCC3(C)C
NPBS000185,O=C1CC2CC(C)CC34N(CCCC23)CCCC14O
NPBS000186,OC1C=C(C(=CC=C(C=CC=C(C=CC=CC(=CC=CC(=CC=C2C(=CC(O)CC2(C)C)C)C)C)C)C)C(C)(C)C1)C
NPBS000187,OC=1C=C(C=2OC(C)(CCC2C1C)CCCC(C)CCCC(C)CCCC(C)C)C
NPBS000188,OCC[As+](C)(C)C
NPBS000189,O=C(O)CC(C)CCC1C(=CCC2C(C)(C)CCCC12C)C
NPBS000190,OC=1C=C2C(=CC1OC)CN3CCC4=CC=C(OC)C(O)=C4C3C2
NPBS000191,O=C1OC2CC3C(C=C(OC)C(=O)C3(C)C4C(=O)C(OC)=C(C)C(C1)C24C)C
NPBS000192,OC=1C=C2C(=CC1OC)CN3CCC4=CC(OC)=C(O)C=C4C3C2
NPBS000193,O=C(O)C12CCC(C(=C)C)C2C3CCC4C5(C)CCC(O)C(C)(C)C5CCC4(C)C3(C)CC1
NPBS000194,O=C1CC2CC(C)CC34N(CCCC13)CCCC24
NPBS000195,O=C1C=C(OC2=CC(OC3OC(COC4OC(C)C(O)C(O)C4O)C(O)C(O)C3O)=CC(O)=C12)C=5C=CC(OC)=C(O)C5
NPBS000196,O=C1C2=C(CCC3C2CC=C4CC(O)CC(O)C43C)C5C1OC6(OCC(C)C(O)C6O)C5CO
NPBS000197,O=CC(=CC=CC(=CC=CC=C(C=CC=C(C=CC=C(C)CCC=C(C)C)C)C)C)C
NPBS000198,O=C1OC2CCN3CC=C(COC(=O)C(O)(C)C(O)(C)C1C)C32
NPBS000199,O=C1OC2CC(C)C(O)(CCC3=COC=C3)C4(C)CCCC1(C)C24
NPBS000200,OC1CCC2(C)C3C=CC4C5C(C)C(C)CCC5(C)CCC4(C)C3(C)CCC2C1(C)C
NPBS000201,O=C(OC)C(=COC)C1CC2N(CCC32C(=O)NC=4C=CC=C(OC)C43)CC1CC
NPBS000202,OC=1C(OC)=CC=C2C1C=3C(O)=C(OC)C=C4C3C(N(C)CC4)C2
NPBS000203,O=C(OCCN(C)C)C=C1CCC2C(C(=O)CC3C(C)(C)C(O)CCC23C)C1C
NPBS000204,O=C1OC2CCN3CC=C(COC(=O)C(O)(C)C(C)CC1=CC)C32
